Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2011-01-24,441.30499267578125,445.24653721882794,437.30874034627914,437.94741365786354,2016678
2011-01-25,433.7686767578125,444.9910790651062,430.6482836620004,443.34877628842906,2467094
2011-01-27,438.4661560058594,442.32290582867284,431.95897005662,434.1341457189098,4714118
2011-01-28,431.8675842285156,440.00154448387394,425.9818960699424,436.85764068103947,3014578
2011-01-31,423.8799133300781,427.35284060617624,412.56549968600353,427.35284060617624,5940816
2011-02-01,420.4620361328125,425.8907635499742,414.1924764825071,425.8907635499742,4212708
2011-02-02,432.2698669433594,438.28354301020823,424.9218910197382,427.7185210439544,3937618
2011-02-03,432.72698974609375,437.11384797972994,427.9563081922721,433.0925612655634,1883412
2011-02-04,419.9683837890625,432.50745429071856,416.8427309034032,429.91190663661666,3457600
2011-02-07,413.51617431640625,428.998117037277,411.8162580677397,428.998117037277,2578382
2011-02-08,411.3044128417969,420.37060228543953,408.8916502944237,413.826864669904,5288638
2011-02-09,401.5069885253906,412.9493437788604,396.1696116870737,410.35379639710874,6012732
2011-02-10,398.7470397949219,407.4293613123451,391.89257543906143,402.12857554381304,4551822
2011-02-11,398.32659912109375,403.66393277812705,386.0068604632241,396.3159563675567,2945056
2011-02-14,406.625,409.4398813340091,397.3760276875606,398.8383129780392,2462548
2011-02-15,401.2876892089844,409.0743775158862,393.5558901600198,409.0743775158862,3625426
2011-02-16,400.8489074707031,405.6744305039113,395.1825526455359,403.95626334256906,2464592
2011-02-17,405.4917907714844,407.41104067705925,399.35021784889454,403.95640869719097,1477760
2011-02-18,398.3631286621094,413.9730539012233,395.5847950034597,405.87563863013065,4076928
2011-02-21,416.239501953125,419.67588133513146,386.8475584815764,398.47274447325196,5657800
2011-02-22,416.2944641113281,419.5663105455044,409.43999982848516,410.4087730388773,3305400
2011-02-23,411.4687805175781,418.5608277951327,410.5731040879149,412.41925694004823,1879344
2011-02-24,406.4422912597656,416.29442241876416,398.94807772774834,409.0743874306012,5378830
2011-02-25,405.8025817871094,408.34328536332976,397.8331068009343,404.0661175028875,3070474
2011-02-28,405.8756103515625,419.7673223023478,402.12850383852174,402.56717162890845,3229396
2011-03-01,411.0849914550781,413.82677663597013,401.25111301453006,406.880920844377,3167804
2011-03-03,420.480224609375,422.23498525540845,404.6875572967421,409.40343748571706,3452600
2011-03-04,415.1246032714844,425.2874609792735,414.0095926992593,425.2874609792735,2061198
2011-03-07,405.1443786621094,411.267697717007,400.09947705328693,410.90212643014746,4184588
2011-03-08,408.5990905761719,412.6569683660878,404.0111967906677,404.0111967906677,3947902
2011-03-09,411.8892822265625,416.02025693380426,408.8916145698243,410.3721966032786,2424486
2011-03-10,405.2540283203125,410.1709437982162,402.12837627276093,410.1709437982162,1871324
2011-03-11,393.7386474609375,403.00587242530645,388.71204130788226,402.1284922444185,5012882
2011-03-14,401.23291015625,402.85968504515006,386.920780841405,391.5269715819925,3248618
2011-03-15,398.39971923828125,400.4651618943851,389.5711612321533,392.9892448084276,3411868
2011-03-16,407.5574035644531,410.7013097377301,398.8933763179735,399.20410318749316,2677874
2011-03-17,401.3973083496094,409.037757843458,399.44151071761354,403.9563075831679,2056102
2011-03-18,395.8223876953125,405.41863583846833,393.3913292406311,399.75227979203345,2211348
2011-03-21,391.4539794921875,399.0212916812301,389.8820041942573,399.0212916812301,2619090
2011-03-22,390.9785461425781,394.8170451930663,388.6023324446569,393.0257367110903,2657774
2011-03-23,389.0958251953125,391.52688339638416,386.5002777505389,391.52688339638416,4352248
2011-03-24,399.7156982421875,400.5016855210567,391.16132025727427,391.52689158461754,3094834
2011-03-25,409.3119812011719,412.54727880459734,403.499387665551,408.2883635453784,4146434
2011-03-28,409.4032897949219,411.88914775038495,405.0529825911105,410.84727851627315,2248642
2011-03-29,416.276123046875,421.1016921597371,409.1292291630057,409.43995591875415,3159588
2011-03-30,421.1199645996094,425.5251179057589,418.54271295455345,419.6759753915904,2294770
2011-03-31,432.7999572753906,437.95450470788865,421.13822155549894,421.13822155549894,7394126
2011-04-01,431.4290466308594,438.22866495767545,428.65071323796155,433.2020587902777,1799624
2011-04-04,443.5112609863281,444.5348788865642,432.8365926000756,433.20216404652837,2311616
2011-04-05,453.25372314453125,454.7525570645381,440.05660360430613,444.187578564113,2891014
2011-04-06,446.6734619140625,455.8492962742119,443.85857963290414,452.9430211316468,2422352
2011-04-07,438.3932189941406,445.9971222065167,436.91268155222957,445.9971222065167,2149016
